BVP,TEMP,ACC_x,ACC_y,ACC_z
-33.795235,35.818333,53.000000,24.000000,25.000000
-41.395493,35.826027,56.000000,23.000000,20.000000
-38.797783,35.838215,56.000000,22.000000,19.000000
-21.731089,35.853848,53.000000,22.000000,18.000000
2.605260,35.839058,56.000000,21.000000,21.000000
23.310892,35.827591,56.000000,23.000000,24.000000
35.966759,35.820393,51.000000,26.000000,25.000000
41.046028,35.817963,50.000000,26.000000,25.000000
38.866207,35.820446,52.000000,25.000000,23.000000
31.220642,35.827671,54.000000,25.000000,21.000000
23.210503,35.839123,56.000000,25.000000,22.000000
18.072142,35.853848,53.000000,25.000000,22.000000
13.636349,35.838100,55.000000,23.000000,23.000000
6.585615,35.825768,54.000000,25.000000,22.000000
-3.627125,35.817928,55.000000,22.000000,22.000000
-15.775374,35.815193,54.000000,22.000000,23.000000
-28.420700,35.817776,55.000000,23.000000,22.000000
-40.749878,35.825535,55.000000,23.000000,22.000000
-53.601833,35.837906,54.000000,25.000000,21.000000
-68.010666,35.853848,51.000000,26.000000,23.000000
-81.444107,35.839458,56.000000,24.000000,21.000000
-86.946884,35.828445,54.000000,25.000000,22.000000
-78.308266,35.821678,50.000000,26.000000,24.000000
-56.583778,35.819572,54.000000,24.000000,23.000000
-29.017508,35.822178,53.000000,25.000000,23.000000
-1.701369,35.829227,51.000000,26.000000,25.000000
22.702213,35.840122,51.000000,24.000000,25.000000
41.908722,35.853848,52.000000,24.000000,23.000000
54.180412,35.836628,54.000000,23.000000,20.000000
60.523457,35.822353,56.000000,22.000000,21.000000
62.707870,35.812149,53.000000,23.000000,22.000000
60.388634,35.806705,55.000000,22.000000,24.000000
53.313522,35.806362,56.000000,24.000000,23.000000
44.422127,35.811115,57.000000,24.000000,21.000000
37.216255,35.820564,54.000000,25.000000,20.000000
31.283749,35.833836,53.000000,25.000000,21.000000
23.858000,35.817181,53.000000,26.000000,23.000000
13.364147,35.804443,52.000000,26.000000,23.000000
0.544464,35.796604,54.000000,24.000000,24.000000
-9.356127,35.794136,57.000000,23.000000,21.000000
-8.427743,35.797112,53.000000,24.000000,22.000000
4.130250,35.805241,54.000000,23.000000,21.000000
18.865784,35.817856,54.000000,23.000000,20.000000
26.848597,35.833836,55.000000,23.000000,21.000000
27.225893,35.819263,55.000000,22.000000,22.000000
22.412268,35.807888,51.000000,27.000000,23.000000
13.787621,35.800663,56.000000,26.000000,22.000000
4.049665,35.798134,55.000000,25.000000,20.000000
-2.567439,35.800491,54.000000,26.000000,21.000000
-5.150345,35.807621,50.000000,25.000000,24.000000
-6.852544,35.819046,51.000000,25.000000,25.000000
-8.920688,35.833836,51.000000,25.000000,27.000000
-9.025802,35.818218,50.000000,26.000000,27.000000
-7.403103,35.806076,53.000000,23.000000,23.000000
-8.997382,35.798447,56.000000,23.000000,21.000000
-17.580996,35.795879,55.000000,22.000000,20.000000
-30.026077,35.798531,55.000000,20.000000,19.000000
-36.712280,35.806206,52.000000,24.000000,23.000000
-29.306559,35.818321,53.000000,24.000000,25.000000
-9.796842,35.833836,58.000000,24.000000,24.000000
11.712852,35.818871,52.000000,26.000000,25.000000
27.319214,35.807224,52.000000,24.000000,21.000000
34.465485,35.799873,53.000000,23.000000,22.000000
32.680317,35.797352,55.000000,24.000000,22.000000
24.485889,35.799831,54.000000,22.000000,24.000000
15.971316,35.807159,55.000000,26.000000,24.000000
11.010287,35.818813,54.000000,25.000000,24.000000
7.636755,35.833836,53.000000,22.000000,24.000000
2.518894,35.818413,55.000000,22.000000,22.000000
-4.548685,35.806412,54.000000,23.000000,21.000000
-12.058212,35.798847,53.000000,21.000000,22.000000
-19.613647,35.796276,54.000000,24.000000,23.000000
-28.448919,35.798866,55.000000,26.000000,23.000000
-39.911667,35.806438,58.000000,24.000000,21.000000
-50.985870,35.818436,57.000000,23.000000,20.000000
-52.352287,35.833836,52.000000,25.000000,22.000000
-36.933208,35.818775,52.000000,25.000000,25.000000
-9.670018,35.807068,52.000000,26.000000,26.000000
17.287954,35.799690,52.000000,26.000000,29.000000
36.018421,35.797176,49.000000,28.000000,27.000000
44.373703,35.799690,53.000000,22.000000,24.000000
42.099216,35.807068,55.000000,23.000000,21.000000
32.042019,35.818775,55.000000,22.000000,18.000000
21.159298,35.833836,55.000000,23.000000,20.000000
14.694499,35.818436,52.000000,22.000000,24.000000
11.314273,35.806438,55.000000,24.000000,25.000000
7.341901,35.798866,59.000000,23.000000,23.000000
2.722085,35.796276,54.000000,23.000000,22.000000
-0.368851,35.798847,50.000000,26.000000,20.000000
-2.346815,35.806412,51.000000,25.000000,21.000000
-6.939305,35.818413,53.000000,25.000000,22.000000
-17.480335,35.833836,54.000000,26.000000,24.000000
-31.175817,35.818813,57.000000,22.000000,25.000000
-37.541580,35.807159,53.000000,24.000000,23.000000
-28.139042,35.799831,57.000000,22.000000,20.000000
-7.548668,35.797352,57.000000,21.000000,21.000000
11.454387,35.799873,53.000000,25.000000,18.000000
22.218172,35.807224,56.000000,23.000000,20.000000
26.215126,35.818871,56.000000,23.000000,18.000000
24.751225,35.833836,56.000000,24.000000,19.000000
18.115164,35.818321,57.000000,26.000000,23.000000
10.239977,35.806206,54.000000,26.000000,22.000000
5.912034,35.798531,55.000000,24.000000,20.000000
5.016778,35.795879,55.000000,26.000000,19.000000
4.508297,35.798447,54.000000,23.000000,21.000000
3.135153,35.806076,54.000000,24.000000,23.000000
1.809488,35.818218,51.000000,26.000000,25.000000
0.779417,35.833836,50.000000,26.000000,27.000000
-2.293936,35.819046,51.000000,25.000000,25.000000
-10.592777,35.807621,54.000000,24.000000,21.000000
-24.113085,35.800491,55.000000,22.000000,19.000000
-36.529205,35.798134,55.000000,24.000000,20.000000
-37.678429,35.800663,55.000000,25.000000,20.000000
-22.920645,35.807888,55.000000,22.000000,24.000000
0.336989,35.819263,53.000000,24.000000,24.000000
20.211035,35.833836,49.000000,28.000000,25.000000
31.882359,35.817844,49.000000,26.000000,26.000000
36.264400,35.805218,52.000000,26.000000,21.000000
33.777145,35.797077,52.000000,25.000000,21.000000
26.077496,35.794094,55.000000,27.000000,22.000000
17.507862,35.796558,53.000000,26.000000,22.000000
10.680702,35.804405,55.000000,24.000000,24.000000
4.649347,35.817158,54.000000,25.000000,23.000000
-1.892550,35.833836,53.000000,25.000000,22.000000
-8.593118,35.820583,55.000000,23.000000,21.000000
-13.903171,35.811150,56.000000,22.000000,19.000000
-16.854904,35.806412,56.000000,22.000000,21.000000
-19.708826,35.806763,52.000000,27.000000,25.000000
-26.740387,35.812206,55.000000,26.000000,25.000000
-38.161674,35.822399,50.000000,27.000000,24.000000
-46.504780,35.836655,51.000000,26.000000,22.000000
-42.325130,35.853848,52.000000,24.000000,22.000000
-24.035360,35.840080,53.000000,24.000000,22.000000
0.509683,35.829144,52.000000,26.000000,23.000000
22.061747,35.822060,52.000000,26.000000,25.000000
35.214581,35.819435,49.000000,28.000000,27.000000
37.782688,35.821541,51.000000,29.000000,25.000000
31.277679,35.828331,56.000000,24.000000,25.000000
21.324751,35.839394,53.000000,23.000000,21.000000
13.371885,35.853848,52.000000,24.000000,22.000000
8.457356,35.837975,55.000000,23.000000,24.000000
4.647483,35.825665,54.000000,23.000000,25.000000
0.829130,35.817955,55.000000,26.000000,23.000000
-2.376757,35.815395,52.000000,23.000000,24.000000
-4.411582,35.818127,51.000000,27.000000,21.000000
-6.638059,35.825928,52.000000,26.000000,23.000000
-11.560193,35.838192,52.000000,27.000000,24.000000
-20.477530,35.853848,52.000000,27.000000,22.000000
-30.691677,35.839020,58.000000,22.000000,22.000000
-34.839497,35.827473,56.000000,24.000000,22.000000
-27.431929,35.820171,52.000000,23.000000,23.000000
-11.983300,35.817650,54.000000,23.000000,23.000000
3.265356,35.820091,52.000000,25.000000,23.000000
14.104826,35.827347,53.000000,25.000000,24.000000
19.530483,35.838917,50.000000,24.000000,24.000000
17.804529,35.853848,58.000000,23.000000,23.000000
10.245897,35.838367,52.000000,27.000000,23.000000
2.530355,35.826324,55.000000,25.000000,22.000000
-2.571604,35.818745,53.000000,24.000000,21.000000
-7.149238,35.816177,52.000000,26.000000,22.000000
-12.019667,35.818787,51.000000,25.000000,25.000000
-15.068343,35.826393,51.000000,27.000000,27.000000
-16.366590,35.838421,51.000000,26.000000,29.000000
-20.059275,35.853848,49.000000,27.000000,29.000000
-29.987020,35.838825,52.000000,25.000000,24.000000
-45.041676,35.827141,56.000000,23.000000,22.000000
-58.546501,35.819771,57.000000,22.000000,19.000000
-62.006382,35.817253,53.000000,23.000000,20.000000
-51.555580,35.819752,53.000000,22.000000,24.000000
-31.493881,35.827110,53.000000,23.000000,25.000000
-10.056371,35.838802,55.000000,26.000000,26.000000
8.067506,35.853848,54.000000,24.000000,27.000000
23.532585,35.838463,52.000000,26.000000,22.000000
38.755299,35.826485,52.000000,26.000000,22.000000
56.332367,35.818928,55.000000,23.000000,21.000000
77.534042,35.816353,53.000000,25.000000,21.000000
96.359245,35.818928,56.000000,24.000000,24.000000
99.851204,35.826485,53.000000,24.000000,23.000000
81.954140,35.838463,52.000000,23.000000,23.000000
52.923504,35.853848,54.000000,23.000000,22.000000
27.553679,35.838802,55.000000,22.000000,21.000000
9.347074,35.827110,57.000000,23.000000,22.000000
-7.019242,35.819752,54.000000,23.000000,22.000000
-24.331255,35.817253,54.000000,25.000000,22.000000
-38.806999,35.819771,54.000000,24.000000,22.000000
-43.260830,35.827141,55.000000,25.000000,21.000000
-33.280514,35.838825,52.000000,25.000000,21.000000
-12.849619,35.853848,52.000000,23.000000,23.000000
