BVP,TEMP,ACC_x,ACC_y,ACC_z
31.403591,31.961836,-55.000000,32.000000,16.000000
23.496161,31.959753,-55.000000,31.000000,17.000000
14.948878,31.961987,-56.000000,32.000000,13.000000
14.007215,31.968359,-56.000000,31.000000,16.000000
20.325174,31.978403,-55.000000,34.000000,16.000000
33.475628,31.991278,-56.000000,30.000000,14.000000
47.322773,31.976852,-52.000000,30.000000,16.000000
51.457756,31.965450,-55.000000,32.000000,14.000000
42.641388,31.958084,-53.000000,28.000000,16.000000
27.509281,31.955374,-54.000000,30.000000,13.000000
13.533772,31.957586,-53.000000,30.000000,17.000000
2.670434,31.964668,-54.000000,30.000000,15.000000
-5.652799,31.976191,-56.000000,31.000000,14.000000
-11.327630,31.991278,-54.000000,31.000000,17.000000
-12.859702,31.979685,-52.000000,31.000000,17.000000
-8.668607,31.971540,-52.000000,28.000000,18.000000
-1.065326,31.967615,-56.000000,31.000000,17.000000
6.035840,31.968239,-54.000000,28.000000,16.000000
10.914681,31.973400,-56.000000,31.000000,19.000000
14.891980,31.982780,-53.000000,32.000000,16.000000
19.325989,31.995747,-54.000000,32.000000,16.000000
22.561508,32.011292,-51.000000,34.000000,16.000000
19.664177,31.999132,-55.000000,31.000000,15.000000
7.362900,31.989450,-55.000000,31.000000,17.000000
-11.506972,31.983160,-52.000000,31.000000,19.000000
-28.341097,31.980810,-55.000000,31.000000,17.000000
-34.419529,31.982651,-52.000000,29.000000,18.000000
-29.825315,31.988653,-53.000000,30.000000,17.000000
-24.970058,31.998457,-54.000000,33.000000,15.000000
-28.170414,32.011292,-53.000000,34.000000,16.000000
-34.615051,31.997047,-55.000000,31.000000,15.000000
-34.064411,31.986008,-55.000000,32.000000,17.000000
-22.992159,31.979101,-56.000000,30.000000,18.000000
-4.563297,31.976814,-54.000000,31.000000,16.000000
15.684561,31.979271,-53.000000,31.000000,15.000000
31.857328,31.986273,-54.000000,31.000000,16.000000
40.901890,31.997265,-53.000000,29.000000,14.000000
44.332771,32.011292,-60.000000,30.000000,13.000000
44.943287,31.998104,-53.000000,30.000000,17.000000
43.998718,31.987839,-58.000000,32.000000,16.000000
41.185513,31.981350,-55.000000,30.000000,15.000000
35.427925,31.979111,-54.000000,32.000000,15.000000
27.752317,31.981277,-55.000000,29.000000,16.000000
21.471403,31.987728,-55.000000,30.000000,16.000000
16.554808,31.998014,-57.000000,29.000000,14.000000
9.063237,32.011292,-56.000000,27.000000,16.000000
-1.325002,31.997423,-56.000000,32.000000,16.000000
-10.274203,31.986633,-56.000000,29.000000,15.000000
-16.595736,31.979837,-51.000000,33.000000,18.000000
-23.250563,31.977535,-52.000000,34.000000,14.000000
-30.177694,31.979874,-55.000000,33.000000,15.000000
-33.850758,31.986689,-55.000000,33.000000,15.000000
-34.122330,31.997469,-52.000000,31.000000,18.000000
-34.664387,32.011292,-55.000000,31.000000,16.000000
-36.221588,31.997940,-53.000000,31.000000,19.000000
-34.757538,31.987566,-55.000000,29.000000,17.000000
-27.646248,31.981033,-55.000000,30.000000,16.000000
-18.459557,31.978807,-53.000000,34.000000,17.000000
-14.280389,31.981035,-56.000000,34.000000,15.000000
-18.146679,31.987568,-49.000000,31.000000,19.000000
-25.017578,31.997940,-51.000000,31.000000,18.000000
-26.592272,32.011292,-55.000000,31.000000,17.000000
-19.322363,31.997471,-52.000000,32.000000,21.000000
-6.210468,31.986698,-57.000000,31.000000,13.000000
8.371772,31.979893,-58.000000,31.000000,10.000000
22.710861,31.977564,-52.000000,32.000000,16.000000
34.757072,31.979872,-59.000000,32.000000,11.000000
38.704952,31.986666,-56.000000,31.000000,15.000000
30.609423,31.997444,-54.000000,31.000000,17.000000
15.781811,32.011292,-56.000000,30.000000,14.000000
4.307855,31.997988,-54.000000,30.000000,17.000000
1.162041,31.987677,-54.000000,30.000000,14.000000
4.676361,31.981205,-55.000000,30.000000,15.000000
11.031343,31.979025,-56.000000,30.000000,14.000000
17.445152,31.981264,-56.000000,31.000000,14.000000
23.316853,31.987766,-54.000000,32.000000,16.000000
29.385723,31.998062,-57.000000,31.000000,14.000000
35.456051,32.011292,-55.000000,33.000000,14.000000
39.398987,31.997324,-52.000000,34.000000,15.000000
38.952877,31.986401,-54.000000,32.000000,15.000000
33.791286,31.979471,-52.000000,32.000000,17.000000
24.962793,31.977068,-51.000000,32.000000,18.000000
12.750061,31.979376,-54.000000,32.000000,17.000000
-1.630649,31.986256,-51.000000,33.000000,18.000000
-13.650379,31.997206,-55.000000,32.000000,14.000000
-20.747385,32.011292,-54.000000,32.000000,15.000000
-27.266651,31.998264,-53.000000,30.000000,18.000000
-38.804955,31.988222,-56.000000,33.000000,15.000000
-55.683372,31.981972,-54.000000,31.000000,20.000000
-72.963417,31.979916,-54.000000,31.000000,17.000000
-82.374428,31.982147,-50.000000,32.000000,18.000000
-78.087784,31.988491,-53.000000,33.000000,18.000000
-64.193321,31.998484,-55.000000,32.000000,14.000000
-50.798492,32.011292,-53.000000,32.000000,15.000000
-42.492237,31.996836,-55.000000,31.000000,14.000000
-39.070423,31.985426,-55.000000,31.000000,14.000000
-45.173229,31.978092,-52.000000,29.000000,16.000000
-65.322609,31.975451,-58.000000,30.000000,14.000000
-89.986908,31.977751,-54.000000,30.000000,17.000000
-100.050331,31.984898,-53.000000,29.000000,16.000000
-85.765511,31.996401,-55.000000,32.000000,15.000000
-52.661152,32.011292,-55.000000,30.000000,14.000000
-12.725386,31.999228,-57.000000,30.000000,16.000000
23.044151,31.990210,-52.000000,32.000000,17.000000
47.547848,31.984884,-57.000000,31.000000,16.000000
59.592503,31.983482,-55.000000,33.000000,15.000000
